title,originallink,link,description,pubDate
벽에 부딪힌 '文 <b>임기</b>내 전작권 전환',https://www.sedaily.com/NewsView/22JUV1O0J7,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003885075,<b>문재인</b> 대통령 <b>임기</b> 내 전시작전통제권 전환 시기를 확정하려던 우리 정부의 계획이 벽에 부딪혔다. 미국과 가진 외교·국방장관(2+2) 회담에서 구체적인 스케줄을 도출하지 못했기 때문이다. 양국은 18일 서울 종로구... ,"Thu, 18 Mar 2021 17:02:00 +0900"
[<b>문재인</b> 정부 4년] <b>임기</b>는 유한하나 개혁엔 기한 없다,http://h21.hani.co.kr/arti/politics/politics_general/50098.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=036&aid=0000044555,"새로 취임한 1년 <b>임기</b> 대통령처럼 1년 동안 할 일 역시 <b>문재인</b> 대통령은 이미, 오래전부터 알고 있다. “<b>임기</b> 후반부를 하산에 비유합니다. 저는 동의하지 않습니다. …1년의 대통령에 새로 취임한 분을 모신다는 자세로... ","Wed, 17 Mar 2021 10:51:00 +0900"
美 국방 “전작권 전환 조건 충족시간 더 걸릴 것”…文 정부 <b>임기</b> 내 전환 물...,http://www.munhwa.com/news/view.html?no=20210318MW164801255894,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=021&aid=0002464266,<b>문재인</b> 정부 <b>임기</b> 내 전작권 전환은 사실상 물 건너갔음을 확인해 주는 발언으로 분석된다. 오스틴 장관은 이날 서울 도렴동 외교부 청사에서 개최된 한·미 외교·국방장관(2+2) 회의 공동기자회견 모두발언에서 “전작권... ,"Thu, 18 Mar 2021 16:50:00 +0900"
文 왜 사과없이 <b>임기</b>말 부동산 '적폐청산' 주문했나,http://www.fnnews.com/news/202103152239496267,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004601493,모으면서 비정상적인 부동산 거래와 불법 투기를 감독하는 기구를 설치하는 등 근본적 제도개혁에 함께 나서주시기 바란다&quot;고 말했다. #문재인 #LH #한국토지주택공사 #문재인지지율 #<b>문재인임기</b> #문재인사저 #LH투기 #LH사태,"Tue, 16 Mar 2021 05:30:00 +0900"
"&quot;부동산 적폐 청산, 남은 <b>임기</b> 핵심 국정과제&quot;",https://imnews.imbc.com/replay/2021/nwdesk/article/6119429_34936.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=214&aid=0001105994,"'LH 투기 의혹' 과 관련해서 <b>문재인</b> 대통령이 &quot;그동안 엄두를 내지 못했던 부동산 적폐 청산을 남은 <b>임기</b>의 핵심 과제로 삼겠다&quot;고 강조했습니다. 정부도 책임을 질테니, 정치권도 정쟁을 자제하고 부동산 투기를 근절할... ","Mon, 15 Mar 2021 20:51:00 +0900"
"[단독]정부, 남북정상 합의 복원 구상… 김여정은 “<b>임기</b>말 고통스러울것”",https://www.donga.com/news/article/all/20210317/105912845/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003344909,이는 남북 정상이 다시 나서 2018년 합의 이행을 보장해야 남은 <b>임기</b> 1년 안에 <b>문재인</b> 정부의 대북 정책인 한반도 평화프로세스를 재가동할 수 있다는 판단에 따른 것으로 보인다. 정부 당국자는 “결국 북-미관계가 중요한... ,"Wed, 17 Mar 2021 03:02:00 +0900"
촛불정신 끄집어낸 文 &quot;남은 <b>임기</b> 부동산적폐 청산&quot;,http://news.mk.co.kr/newsRead.php?no=245469&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004763398,마라&quot; <b>문재인</b> 대통령은 15일 &quot;부동산 적폐 청산과 투명하고 공정한 부동산 거래 질서 확립을 남은 <b>임기</b>동안 핵심 국정과제로 강력히 추진하겠다&quot;고 밝혔다. 이날 문대통령은 청와대에서 열린 수석보좌관회의에서 이같이... ,"Mon, 15 Mar 2021 15:20:00 +0900"
美 국무·국방 장관 방한…18일 <b>문재인</b> 대통령 예방,http://www.lkp.news/news/articleView.html?idxno=15684,http://www.lkp.news/news/articleView.html?idxno=15684,"블링컨 장관은 방한 직후 트위터에 올린 글에서 &quot;<b>문재인</b> 대통령과 정의용 외교부 장관, 서욱 국방부 장관과... 이어 &quot;바이든 새 미국 행정부의 국방장관과 국무장관이 <b>임기</b> 초반에 함께 한국을 방문한 것을 특히 환영한다... ","Thu, 18 Mar 2021 10:09:00 +0900"
"떠나는 <b>문재인</b> 정부, 들어온 바이든 정부 맞손",http://www.sporbiz.co.kr/news/articleView.html?idxno=516157,http://www.sporbiz.co.kr/news/articleView.html?idxno=516157,<b>임기</b> 1년 여 남긴 <b>문재인</b>정부와 올해 출범한 조 바이든 행정부가 맞손을 잡고 팬데믹시대 동반 여정을 다짐했다. 한반도 평화 프로세스를 강조한 문 정부는 조속한 대북 전략 수립 필요성을 강조하는 동시에 한미 동맹... ,"Thu, 18 Mar 2021 16:03:00 +0900"
"<b>문재인</b> 정부 4년, 심층분석해보니",http://h21.hani.co.kr/arti/politics/politics_general/50097.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=036&aid=0000044561,html <b>임기</b>는 유한하나 개혁엔 기한 없다 http://h21.hani.co.kr/arti/politics/politics_general/50098.html <b>문재인</b> 정부 긍정평가 40%나? 40%밖에? http://h21.hani.co.kr/arti/politics/politics_general/50085.html 의심에 의심을 더한... ,"Thu, 18 Mar 2021 10:29:00 +0900"
[<b>문재인</b> 정부 4년] 국정 이슈 삼킨 ‘검찰 개혁’,http://h21.hani.co.kr/arti/politics/politics_general/50090.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=036&aid=0000044552,소환되던 인물이 대권 주자로 올라선 아이러니다. 고한솔 기자 sol@hani.co.kr *표지이야기 2부 - [<b>문재인</b> 정부 4년] <b>임기</b>는 유한하나 개혁엔 기한 없다 기사로 이어집니다. http://h21.hani.co.kr/arti/politics/politics_general/50098.html,"Wed, 17 Mar 2021 10:43:00 +0900"
