text
""박형준은 아픈 가정사가 아니라 동아대교수 할때 바람펴서

교수될때 까지
뒷바라지한 첫부인과 이혼후 돈많은 조현과 결혼한 것이다

부산 수영구에서 유재중에게 2번 진 이유가 불륜…"
"RT @choisang4499: 홍준표가 박형준 조강지처 운운한 이유
""박형준은 아픈 가정사가 아니라 동아대교수 할때 바람펴서

교수될때 까지
뒷바라지한 첫부인과 이혼후 돈많은 조현과 결혼한 것이다

부산 수영구에서 유재중에게 2번 진 이유가 불륜…"
"RT @choisang4499: 홍준표가 박형준 조강지처 운운한 이유
""박형준은 아픈 가정사가 아니라 동아대교수 할때 바람펴서

교수될때 까지
뒷바라지한 첫부인과 이혼후 돈많은 조현과 결혼한 것이다

부산 수영구에서 유재중에게 2번 진 이유가 불륜…"
"RT @choisang4499: 홍준표가 박형준 조강지처 운운한 이유
""박형준은 아픈 가정사가 아니라 동아대교수 할때 바람펴서

교수될때 까지
뒷바라지한 첫부인과 이혼후 돈많은 조현과 결혼한 것이다

부산 수영구에서 유재중에게 2번 진 이유가 불륜…"
"RT @choisang4499: 홍준표가 박형준 조강지처 운운한 이유
""박형준은 아픈 가정사가 아니라 동아대교수 할때 바람펴서

교수될때 까지
뒷바라지한 첫부인과 이혼후 돈많은 조현과 결혼한 것이다

부산 수영구에서 유재중에게 2번 진 이유가 불륜…"
"RT @choisang4499: 홍준표가 박형준 조강지처 운운한 이유
""박형준은 아픈 가정사가 아니라 동아대교수 할때 바람펴서

교수될때 까지
뒷바라지한 첫부인과 이혼후 돈많은 조현과 결혼한 것이다

부산 수영구에서 유재중에게 2번 진 이유가 불륜…"
